127.0.0.1 - - [21/Jan/2013:18:42:18 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:20 -0300] "GET /ControlArt/ HTTP/1.1" 200 2903
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:20 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:20 -0300] "GET /ControlArt/javax.faces.resource/login.css.art;jsessionid=17E6F3D8F6190706414B8EB4636990F9?ln=css HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art;jsessionid=17E6F3D8F6190706414B8EB4636990F9?ln=primefaces HTTP/1.1" 200 47730
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art;jsessionid=17E6F3D8F6190706414B8EB4636990F9?ln=primefaces HTTP/1.1" 200 202000
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art;jsessionid=17E6F3D8F6190706414B8EB4636990F9?ln=primefaces HTTP/1.1" 200 326967
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/resources/image/login_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:21 -0300] "GET /ControlArt/javax.faces.resource/spacer/dot_clear.gif.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:28 -0300] "GET /ControlArt/javax.faces.resource/images/default.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/images/active.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "POST /ControlArt/login.art;jsessionid=17E6F3D8F6190706414B8EB4636990F9 HTTP/1.1" 200 5652
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:29 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:30 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:30 -0300] "GET /ControlArt/javax.faces.resource/images/header.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:30 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_72a7cf_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:30 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:38 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "POST /ControlArt/pages/home.art HTTP/1.1" 200 8739
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:40 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:42 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:42 -0300] "GET /ControlArt/javax.faces.resource/images/ui-bg_diagonals-thick_90_eeeeee_40x40.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:42 -0300] "POST /ControlArt/pages/alterarDadosLogin.art HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:42:57 -0300] "POST /ControlArt/pages/alterarDadosLogin.art HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:01 -0300] "POST /ControlArt/pages/alterarDadosLogin.art HTTP/1.1" 200 1714
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:02 -0300] "POST /ControlArt/pages/alterarDadosLogin.art HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:02 -0300] "GET /ControlArt/javax.faces.resource/images/ui-bg_highlight-soft_25_ffef8f_1x100.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:02 -0300] "GET /ControlArt/javax.faces.resource/images/ui-icons_2e83ff_256x240.png.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:02 -0300] "GET /ControlArt/javax.faces.resource/messages/messages.png.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "POST /ControlArt/pages/alterarDadosLogin.art HTTP/1.1" 200 20338
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/theme.css.art?ln=primefaces-bluesky HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/jquery/jquery.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/primefaces.css.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/primefaces.js.art?ln=primefaces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/template.css.art?ln=css HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/logo_sistema.png.art?ln=image HTTP/1.1" 200 26461
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:07 -0300] "GET /ControlArt/javax.faces.resource/status_loading.gif.art?ln=image HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:13 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 3667
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:15 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 11525
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:16 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:23 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 11307
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:24 -0300] "GET /ControlArt/javax.faces.resource/update_ico.png.art?ln=image HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:24 -0300] "GET /ControlArt/javax.faces.resource/delete_ico.png.art?ln=image HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [21/Jan/2013:18:43:28 -0300] "POST /ControlArt/pages/tipoPessoa.art HTTP/1.1" 200 17170
